Country,Province Code,Region,City/ Town
Canada,AB,Lacombe,
Canada,AB,Lakeland,Boyle
Canada,AB,Lamont,
Canada,AB,Leduc,
Canada,AB,Leduc,Millet
Canada,AB,Leduc,Nisku
Canada,AB,Lesser Slave River,Slave Lake
Canada,AB,Lethbridge,Brooks
Canada,AB,Lethbridge,Coaldale
Canada,AB,Lethbridge,
Canada,AB,Lethbridge,Picture Butte
Canada,AB,Lloydminster (Part),
Canada,AB,Mackenzie,Fort Vermilion
Canada,AB,Mackenzie,La Crete
Canada,AB,Mackenzie,Zama City
Canada,AB,Medicine Hat,Dunmore
Canada,AB,Medicine Hat,
Canada,AB,Minburn,Vegreville
Canada,AB,Mountain View,Acme
Canada,AB,Mountain View,Sundre
Canada,AB,Newell,Bassano
Canada,AB,Northern Lights,Manning
Canada,AB,Northern Sunrise,
Canada,AB,Opportunity,Calling Lake
Canada,AB,Opportunity,Peerless Lake
Canada,AB,Opportunity,Red Earth Creek
Canada,AB,Opportunity,Wabasca
Canada,AB,Paintearth,Coronation
Canada,AB,Parkland,Duffield
Canada,AB,Parkland,Entwistle
Canada,AB,Parkland,Onoway
Canada,AB,Parkland,Stony Plain
Canada,AB,Peace,Brownvale
Canada,AB,Peace,Grimshaw
Canada,AB,Pincher Creek,Blairmore
Canada,AB,Ponoka,Bashaw
Canada,AB,Ponoka,Maskwacis
Canada,AB,Ponoka,Rimbey
Canada,AB,Provost,
Canada,AB,Red Deer,Blackfalds
Canada,AB,Red Deer,College Heights
Canada,AB,Red Deer,Didsbury
Canada,AB,Red Deer,Eckville
Canada,AB,Red Deer,Innisfail
Canada,AB,Red Deer,Penhold
Canada,AB,Red Deer,Ponoka
Canada,AB,Red Deer,
Canada,AB,Red Deer,Sylvan Lake
Canada,AB,Rocky Mountain House,
Canada,AB,Rocky View,Airdrie
Canada,AB,Rocky View,Beiseker
Canada,AB,Rocky View,Irricana
Canada,AB,Rocky View,Lyalta
Canada,AB,Saddle Hills,
Canada,AB,Smoky Lake,Buffalo Lake Settlement
Canada,AB,Smoky Lake,Caslan
Canada,AB,Smoky Lake,Kikino
Canada,AB,Smoky Lake,Lac La Biche
Canada,AB,Smoky Lake,Smoky Lake
Canada,AB,Smoky Lake,Vilna
Canada,AB,Smoky River,Mclennan
Canada,AB,Spirit River,Rycroft
Canada,AB,Spirit River,
Canada,AB,Spruce Grove,
Canada,AB,St. Albert,ALB
Canada,AB,St. Albert,
Canada,AB,St. Paul,Elk Point
Canada,AB,St. Paul,Saddle Lake
Canada,AB,St. Paul,
Canada,AB,Starland,Hanna
Canada,AB,Startland,
Canada,AB,Stettler,
Canada,AB,Strathcona,Sherwood Park
Canada,AB,Strathcona,Tofield
Canada,AB,Strathmore,Carbon
Canada,AB,Strathmore,Linden
Canada,AB,Strathmore,Siksika
Canada,AB,Sturgeon,Gibbons
Canada,AB,Sturgeon,Lancaster Park
Canada,AB,Sturgeon,Morinville
Canada,AB,Taber,
Canada,AB,Taber,Vauxhall
Canada,AB,Thorhild,Redwater
Canada,AB,Thorhild,
Canada,AB,Two Hills,
Canada,AB,Vermilion River,Blackfoot
Canada,AB,Vermilion River,Kitscoty
Canada,AB,Vermilion River,Vermilion
Canada,AB,Vermillion River,
Canada,AB,Vulcan,Vulcan
Canada,AB,Wainwright,Denwood
Canada,AB,Wainwright,Hardisty
Canada,AB,Wainwright,
Canada,AB,Warner,Foremost
Canada,AB,Warner,Milk River
Canada,AB,Warner,Raymond
Canada,AB,Westlock,
Canada,AB,Wetaskiwin,Alder Flats
Canada,AB,Wetaskiwin,
Canada,AB,Wetaskiwin,Winfield
Canada,AB,Wheatland,Carseland
Canada,AB,Wheatland,Cluny
Canada,AB,Wheatland,Gleichen
Canada,AB,Wheatland,Hussar
Canada,AB,Wheatland,Redcliff
Canada,AB,Wheatland,Rockyford
Canada,AB,Wheatland,Strathmore
Canada,AB,Willow Creek,Claresholm
Canada,AB,Willow Creek,Fort Macleod
Canada,AB,Willow Creek,Granum
Canada,AB,Willow Creek,Nanton
Canada,AB,Willow Creek,Pincher Creek
Canada,AB,Wood Buffalo,Anzac
Canada,AB,Wood Buffalo,Fort Chipewyan
Canada,AB,Wood Buffalo,Fort Mcmurray
Canada,AB,Wood Buffalo,Frog Lake
Canada,AB,Wood Buffalo,Goodfish Lake
Canada,AB,Wood Buffalo,Kehewin
Canada,AB,Woodlands,Peers
Canada,AB,Woodlands,Whitecourt
Canada,AB,Yellowhead,Edson
Canada,AB,Yellowhead,Hinton
Canada,BC,Alberni-Clayoquot,Ahousat
Canada,BC,Alberni-Clayoquot,Bamfield
Canada,BC,Alberni-Clayoquot,Kyuquot
Canada,BC,Alberni-Clayoquot,Port Alberni
Canada,BC,Alberni-Clayoquot,Tofino
Canada,BC,Alberni-Clayoquot,Ucluelet
Canada,BC,Bulkley-Nechako,Burns Lake
Canada,BC,Bulkley-Nechako,Fort Fraser
Canada,BC,Bulkley-Nechako,Fort St James
Canada,BC,Bulkley-Nechako,Fraser Lake
Canada,BC,Bulkley-Nechako,Granisle
Canada,BC,Bulkley-Nechako,Houston
Canada,BC,Bulkley-Nechako,Smithers
Canada,BC,Bulkley-Nechako,Southbank
Canada,BC,Bulkley-Nechako,Takla Landing
Canada,BC,Bulkley-Nechako,Vanderhoof
Canada,BC,Capital,Brentwood Bay
Canada,BC,Capital,Esquimalt
Canada,BC,Capital,Galiano Island
Canada,BC,Capital,Langford
Canada,BC,Capital,Mayne Island
Canada,BC,Capital,North Saanich
Canada,BC,Capital,Port Renfrew
Canada,BC,Capital,Saanich
Canada,BC,Capital,Saanichton
Canada,BC,Capital,Salt Spring Island
Canada,BC,Capital,Saltspring Island
Canada,BC,Capital,Sidney
Canada,BC,Capital,Sooke
Canada,BC,Capital,Victoria
Canada,BC,Cariboo,100 Mile House
Canada,BC,Cariboo,Alexis Creek
Canada,BC,Cariboo,Alkali Lake
Canada,BC,Cariboo,Anahim Lake
Canada,BC,Cariboo,Canim Lake
Canada,BC,Cariboo,Chilanko Forks
Canada,BC,Cariboo,Dog Creek
Canada,BC,Cariboo,Hanceville
Canada,BC,Cariboo,Nemaiah Valley
Canada,BC,Cariboo,Quesnel
Canada,BC,Cariboo,Riske Creek
Canada,BC,Cariboo,Tatla Lake
Canada,BC,Cariboo,Williams Lake
Canada,BC,Central Coast,Bella Bella
Canada,BC,Central Coast,Bella Coola
Canada,BC,Central Coast,Klemtu
Canada,BC,Central Coast,Waglisla
Canada,BC,Central Kootenay,Castlegar
Canada,BC,Central Kootenay,Crawford Bay
Canada,BC,Central Kootenay,Crescent Valley
Canada,BC,Central Kootenay,Creston
Canada,BC,Central Kootenay,Edgewood
Canada,BC,Central Kootenay,Kaslo
Canada,BC,Central Kootenay,Nakusp
Canada,BC,Central Kootenay,Nelson
Canada,BC,Central Kootenay,New Denver
Canada,BC,Central Kootenay,Salmo
Canada,BC,Central Kootenay,Slocan
Canada,BC,Central Okanagan,Kelowna
Canada,BC,Central Okanagan,Peachland
Canada,BC,Central Okanagan,West Kelowna
Canada,BC,Central Okanagan,Westbank
Canada,BC,Columbia-Shuswap,Anglemont
Canada,BC,Columbia-Shuswap,Douglas Lake
Canada,BC,Columbia-Shuswap,Golden
Canada,BC,Columbia-Shuswap,Revelstoke
Canada,BC,Columbia-Shuswap,Salmon Arm
Canada,BC,Columbia-Shuswap,Sicamous
Canada,BC,Columbia-Shuswap,Sorrento
Canada,BC,Comox Valley,Comox
Canada,BC,Comox Valley,Courtenay
Canada,BC,Comox Valley,Denman Island
Canada,BC,Comox Valley,Hornby Island
Canada,BC,Comox Valley,Lazo
Canada,BC,Coquitlam,
Canada,BC,Cowichan Valley,Chemainus
Canada,BC,Cowichan Valley,Cowichan Bay
Canada,BC,Cowichan Valley,Duncan
Canada,BC,Cowichan Valley,Ladysmith
Canada,BC,Cowichan Valley,Lake Cowichan
Canada,BC,Cowichan Valley,Mill Bay
Canada,BC,East Kootenay,Athalmer
Canada,BC,East Kootenay,Cranbrook
Canada,BC,East Kootenay,Elkford
Canada,BC,East Kootenay,Fernie
Canada,BC,East Kootenay,Grasmere
Canada,BC,East Kootenay,Invermere
Canada,BC,East Kootenay,Kimberley
Canada,BC,East Kootenay,Sparwood
Canada,BC,East Kootenay,Windermere
Canada,BC,Fraser Valley,Abbotsford
Canada,BC,Fraser Valley,Agassiz
Canada,BC,Fraser Valley,Boston Bar
Canada,BC,Fraser Valley,Chilliwack
Canada,BC,Fraser Valley,Cultus Lake
Canada,BC,Fraser Valley,Deroche
Canada,BC,Fraser Valley,Hope
Canada,BC,Fraser Valley,Lake Errock
Canada,BC,Fraser Valley,Mission
Canada,BC,Fraser Valley,Rosedale
Canada,BC,Fraser Valley,Sardis
Canada,BC,Fraser Valley,Spuzzum
Canada,BC,Fraser-Fort George,Mackenzie
Canada,BC,Fraser-Fort George,Mcbride
Canada,BC,Fraser-Fort George,Mcleod Lake
Canada,BC,Fraser-Fort George,Prince George
Canada,BC,Fraser-Fort George,Valemount
Canada,BC,Greater Vancouver,
Canada,BC,Kitimat-Stikine,Aiyansh
Canada,BC,Kitimat-Stikine,Gitanmaax
Canada,BC,Kitimat-Stikine,Haisla
Canada,BC,Kitimat-Stikine,Hartley Bay
Canada,BC,Kitimat-Stikine,Hazelton
Canada,BC,Kitimat-Stikine,Kispiox
Canada,BC,Kitimat-Stikine,Kitamaat Village
Canada,BC,Kitimat-Stikine,Kitimat
Canada,BC,Kitimat-Stikine,Kitwanga
Canada,BC,Kitimat-Stikine,New Aiyansh
Canada,BC,Kitimat-Stikine,New Hazelton
Canada,BC,Kitimat-Stikine,Sik-E-Dakh
Canada,BC,Kitimat-Stikine,South Hazelton
Canada,BC,Kitimat-Stikine,Stewart
Canada,BC,Kitimat-Stikine,Telegraph Creek
Canada,BC,Kitimat-Stikine,Terrace
Canada,BC,Kootenay Boundary,Grand Forks
Canada,BC,Kootenay Boundary,Midway
Canada,BC,Kootenay Boundary,Rock Creek
Canada,BC,Kootenay Boundary,Trail
Canada,BC,Maple Ridge,
Canada,BC,Metro Vancouver,Aldergrove
Canada,BC,Metro Vancouver,Bowen Island
Canada,BC,Metro Vancouver,Burnaby
Canada,BC,Metro Vancouver,Coquitlam
Canada,BC,Metro Vancouver,Langley
Canada,BC,Metro Vancouver,Maple Ridge
Canada,BC,Metro Vancouver,New Westminster
Canada,BC,Metro Vancouver,North Vancouver
Canada,BC,Metro Vancouver,Pitt Meadows
Canada,BC,Metro Vancouver,Port Coquitlam
Canada,BC,Metro Vancouver,Port Moody
Canada,BC,Metro Vancouver,Richmond
Canada,BC,Metro Vancouver,Surrey
Canada,BC,Metro Vancouver,Vancouver
Canada,BC,Metro Vancouver,West Vancouver
Canada,BC,Metro Vancouver,White Rock
Canada,BC,Mount Waddington,Alert Bay
Canada,BC,Mount Waddington,Coal Harbour
Canada,BC,Mount Waddington,Kingcome Inlet
Canada,BC,Mount Waddington,Port Alice
Canada,BC,Mount Waddington,Port Hardy
Canada,BC,Mount Waddington,Port Mcneill
Canada,BC,Mount Waddington,Port NcNeill
Canada,BC,Mount Waddington,Sointula
Canada,BC,Nanaimo,Gabriola Island
Canada,BC,Nanaimo,Lantzville
Canada,BC,Nanaimo,
Canada,BC,Nanaimo,Parksville
Canada,BC,New Westminster,
Canada,BC,North Cowichan,
Canada,BC,North Okanagan,Armstrong
Canada,BC,North Okanagan,Coldstream
Canada,BC,North Okanagan,Enderby
Canada,BC,North Okanagan,Lumby
Canada,BC,North Okanagan,Vernon
Canada,BC,Northern Rockies,Fort Nelson
Canada,BC,Okanagan-Similkameen,Cawston
Canada,BC,Okanagan-Similkameen,Hedley
Canada,BC,Okanagan-Similkameen,Keremeos
Canada,BC,Okanagan-Similkameen,Lake Country
Canada,BC,Okanagan-Similkameen,Oliver
Canada,BC,Okanagan-Similkameen,Osoyoos
Canada,BC,Okanagan-Similkameen,Penticton
Canada,BC,Okanagan-Similkameen,Summerland
Canada,BC,Okanagan-Similkameen,West Kootenays
Canada,BC,Peace River,Buick
Canada,BC,Peace River,Chetwynd
Canada,BC,Peace River,Dawson Creek
Canada,BC,Peace River,Farmington
Canada,BC,Peace River,Fort St John
Canada,BC,Peace River,Hudsons Hope
Canada,BC,Peace River,Moberly Lake
Canada,BC,Peace River,Rose Prairie
Canada,BC,Peace River,Tumbler Ridge
Canada,BC,Peace River,Ware
Canada,BC,Peace River,Wonowon
Canada,BC,Powell River,Powell River
Canada,BC,Skeena-Queen Charlotte,Daajing Giids
Canada,BC,Skeena-Queen Charlotte,Gitwinksihlkw
Canada,BC,Skeena-Queen Charlotte,Greenville
Canada,BC,Skeena-Queen Charlotte,Kincolith
Canada,BC,Skeena-Queen Charlotte,Kitkatla
Canada,BC,Skeena-Queen Charlotte,Lax Kw'alaams
Canada,BC,Skeena-Queen Charlotte,Masset
Canada,BC,Skeena-Queen Charlotte,Prince Rupert
Canada,BC,Squamish-Lillooet,D'arcy
Canada,BC,Squamish-Lillooet,Darcy
Canada,BC,Squamish-Lillooet,Lillooet
Canada,BC,Squamish-Lillooet,Mount Currie
Canada,BC,Squamish-Lillooet,Pemberton
Canada,BC,Squamish-Lillooet,Shalalth
Canada,BC,Squamish-Lillooet,Squamish
Canada,BC,Squamish-Lillooet,Whistler
Canada,BC,Stikine,Atlin
Canada,BC,Stikine,Dease Lake
Canada,BC,Stikine,Good Hope Lake
Canada,BC,Stikine,Iskut
Canada,BC,Strathcona,Campbell River
Canada,BC,Strathcona,Gold River
Canada,BC,Strathcona,Quadra Island
Canada,BC,Strathcona,Quathiaski Cove
Canada,BC,Strathcona,Squirrel Cove
Canada,BC,Strathcona,Tahsis
Canada,BC,Strathcona,Zeballos
Canada,BC,Sunshine Coast,Garden Bay
Canada,BC,Sunshine Coast,Gibsons
Canada,BC,Sunshine Coast,Madeira Park
Canada,BC,Sunshine Coast,Sechelt
Canada,BC,Thompson-Nicola,Ashcroft
Canada,BC,Thompson-Nicola,Barriere
Canada,BC,Thompson-Nicola,Blue River
Canada,BC,Thompson-Nicola,Cache Creek
Canada,BC,Thompson-Nicola,Celista
Canada,BC,Thompson-Nicola,Chase
Canada,BC,Thompson-Nicola,Clearwater
Canada,BC,Thompson-Nicola,Kagawong
Canada,BC,Thompson-Nicola,Kamloop
Canada,BC,Thompson-Nicola,Kamloops
Canada,BC,Thompson-Nicola,Little Fort
Canada,BC,Thompson-Nicola,Logan Lake
Canada,BC,Thompson-Nicola,Lytton
Canada,BC,Thompson-Nicola,Meritt
Canada,BC,Thompson-Nicola,Merritt
Canada,BC,Thompson-Nicola,Savona
Canada,BC,Thompson-Nicola,Spences Bridge
Canada,BC,Thompson-Nicola,Walhachin
Canada,BC,Vancouver,
Canada,BC,Vancouver Metro,
Canada,BC,unknown,108 Mile House
Canada,BC,unknown,Aggassiz
Canada,BC,unknown,Esquimalt
Canada,BC,unknown,Qualicum
Canada,MB,Altona,
Canada,MB,Arborg,
Canada,MB,Beausejour,
Canada,MB,Bifrost-Riverton,
Canada,MB,Brandon,
Canada,MB,Brenda-Waskada,
Canada,MB,Carberry,
Canada,MB,Carman,
Canada,MB,Cartwright-Roblin,
Canada,MB,Central Manitoba,
Canada,MB,Central Plains,Alonsa
Canada,MB,Central Plains,Dakota Tipi
Canada,MB,Central Plains,Elie
Canada,MB,Central Plains,Gladstone
Canada,MB,Central Plains,Macgregor
Canada,MB,Central Plains,Marius
Canada,MB,Central Plains,Notre Dame De Lourdes
Canada,MB,Central Plains,Portage La Prairie
Canada,MB,Central Plains,Rossendale
Canada,MB,Central Plains,Southport
Canada,MB,Central Plains,St Claude
Canada,MB,Central Plains,Treherne
Canada,MB,Churchill,
Canada,MB,Churchill And Northern Manitoba,
Canada,MB,Clanwilliam-Erickson,
Canada,MB,Dauphin,Tootinaowaziibeeng
Canada,MB,Deloraine-Winchester,
Canada,MB,Eastern Manitoba,
Canada,MB,Eastman,Beausejour
Canada,MB,Eastman,Berens River
Canada,MB,Eastman,Buffalo Point
Canada,MB,Eastman,Dominion City
Canada,MB,Eastman,Fort Alexander
Canada,MB,Eastman,La Broquerie
Canada,Mb,Eastman,"La broquerie,mb"
Canada,MB,Eastman,Lac Du Bonnet
Canada,MB,Eastman,Little Grand Rapids
Canada,MB,Eastman,Negginan
Canada,MB,Eastman,O'Hanley
Canada,MB,Eastman,O'hanly
Canada,MB,Eastman,Pauingassi
Canada,MB,Eastman,Pinawa
Canada,MB,Eastman,Pine Falls
Canada,MB,Eastman,Powerview
Canada,MB,Eastman,Saint Pierre-Jolys
Canada,MB,Eastman,Sprague
Canada,MB,Eastman,St Pierre Jolys
Canada,MB,Eastman,Ste Anne
Canada,MB,Eastman,Steinbach
Canada,MB,Eastman,Vita
Canada,MB,Eastman,Wanipigow
Canada,MB,Eastman,Whitemouth
Canada,MB,Emerson-Franklin,
Canada,MB,Ethelbert,
Canada,MB,Flin Flon,
Canada,MB,Flin Flon and North West,
Canada,MB,Gilbert Plains,
Canada,MB,Gillam,
Canada,MB,Glenboro-South Cypress,
Canada,MB,Glenella-Lansdowne,
Canada,MB,Grand Rapids,
Canada,MB,Grandview,
Canada,MB,Grassland,
Canada,MB,Hamiota,
Canada,MB,Harrison Park,
Canada,MB,Indigenous and Municipal Relations,
Canada,MB,Interlake,Arborg
Canada,MB,Interlake,Ashern
Canada,MB,Interlake,Bloodvein
Canada,MB,Interlake,Dallas
Canada,MB,Interlake,Eriksdale
Canada,MB,Interlake,Gimli
Canada,MB,Interlake,Gypsumville
Canada,MB,Interlake,Hodgson
Canada,MB,Interlake,Koostatak
Canada,MB,Interlake,Lundar
Canada,MB,Interlake,Peguis
Canada,MB,Interlake,Riverton
Canada,MB,Interlake,Scanterbury
Canada,MB,Interlake,Selkirk
Canada,MB,Interlake,Skownan
Canada,MB,Interlake,St Laurent
Canada,MB,Interlake,St Martin
Canada,MB,Interlake,Stonewall
Canada,MB,Interlake,Teulon
Canada,MB,Interlake,Warren
Canada,MB,Killarney-Turtle Mountain,
Canada,MB,Lac Du Bonnet,
Canada,MB,Leaf Rapids,
Canada,MB,Lgd Of Pinawa,
Canada,MB,Lorne,
Canada,MB,Louise,
Canada,MB,Lynn Lake,
Canada,MB,Mccreary,
Canada,MB,Melita,
Canada,MB,Minitonas-Bowsman,
Canada,MB,Minnedose,
Canada,MB,Morden,
Canada,MB,Morris,
Canada,MB,Morton-Boissevain,
Canada,MB,Mossey River,
Canada,MB,Neepawa,
Canada,MB,Niverville,
Canada,MB,Norfolk Treherne,
Canada,MB,North Cypress-Langford,
Canada,MB,North East,Lake Manitoba First Nation
Canada,MB,North Interlake,
Canada,MB,North Norfolk,
Canada,MB,Northern,Brochet
Canada,MB,Northern,Churchill
Canada,MB,Northern,Cormorant
Canada,MB,Northern,Cranberry Portage
Canada,MB,Northern,Cross Lake
Canada,MB,Northern,Easterville
Canada,MB,Northern,Flin Flon
Canada,MB,Northern,Gillam
Canada,MB,Northern,Gods Lake Narrows
Canada,MB,Northern,Gods River
Canada,MB,Northern,Grand Rapids
Canada,MB,Northern,Ilford
Canada,MB,Northern,Island Lake
Canada,MB,Northern,Lac Brochet
Canada,MB,Northern,Leaf Rapids
Canada,MB,Northern,Lynn Lake
Canada,MB,Northern,Moose Lake
Canada,MB,Northern,Nelson House
Canada,MB,Northern,Norway House
Canada,MB,Northern,Oxford House
Canada,MB,Northern,Pikwitonei
Canada,MB,Northern,Pukatawagan
Canada,MB,Northern,Red Sucker Lake
Canada,MB,Northern,Shamattawa
Canada,MB,Northern,Sherridon
Canada,MB,Northern,Snow Lake
Canada,MB,Northern,South Indian Lake
Canada,MB,Northern,Split Lake
Canada,MB,Northern,St Theresa Point
Canada,MB,Northern,Tadoule Lake
Canada,MB,Northern,The Pas
Canada,MB,Northern,Thicket Portage
Canada,MB,Northern,Thompson
Canada,MB,Northern,Waasagamack
Canada,MB,Northern,Wabowden
Canada,MB,Northern,York Landing
Canada,MB,Oakland-Wawanesa,
Canada,MB,Parkland,Benito
Canada,MB,Parkland,Binscarth
Canada,MB,Parkland,Birch River
Canada,MB,Parkland,Camperville
Canada,MB,Parkland,Crane River
Canada,MB,Parkland,Dauphin
Canada,MB,Parkland,Duck Bay
Canada,MB,Parkland,Ebb And Flow
Canada,MB,Parkland,Erickson
Canada,MB,Parkland,Ethelbert
Canada,MB,Parkland,Gilbert Plains
Canada,MB,Parkland,Grandview
Canada,MB,Parkland,Mccreary
Canada,MB,Parkland,Pelican Rapids
Canada,MB,Parkland,Roblin
Canada,MB,Parkland,Rossburn
Canada,MB,Parkland,Russell
Canada,MB,Parkland,Shortdale
Canada,MB,Parkland,Ste Rose Du Lac
Canada,Mb,Parkland,"Ste.rose du lac,mb"
Canada,MB,Parkland,Swan River
Canada,MB,Parkland,Waterhen
Canada,MB,Parkland,Waywayseecappo
Canada,MB,Parkland,Winnipegosis
Canada,MB,Pembina,
Canada,MB,Pembina Valley,Altona
Canada,MB,Pembina Valley,Carman
Canada,Mb,Pembina Valley,Emerson
Canada,MB,Pembina Valley,Ginew
Canada,MB,Pembina Valley,Manitou
Canada,MB,Pembina Valley,Morden
Canada,MB,Pembina Valley,Morris
Canada,MB,Pembina Valley,Rosenort
Canada,MB,Pembina Valley,Somerset
Canada,MB,Pembina Valley,St Jean Baptiste
Canada,MB,Pembina Valley,Swan Lake
Canada,MB,Pembina Valley,Winkler
Canada,MB,Pilot Mound,
Canada,MB,Portage La Prairie,
Canada,MB,Powerview-Pine Falls,
Canada,MB,Prairie View,
Canada,MB,Rhineland,
Canada,MB,Riverdale,
Canada,MB,Rm Of Alexander,
Canada,MB,Rm Of Alonsa,
Canada,MB,Rm Of Argyle,
Canada,MB,Rm Of Armstrong,
Canada,MB,Rm Of Brokenhead,
Canada,MB,Rm Of Cartier,
Canada,MB,Rm Of Coldwell,
Canada,MB,Rm Of Cornwallis,
Canada,MB,Rm Of Dauphin,
Canada,MB,Rm Of De Salaberry,
Canada,MB,Rm Of Dufferin,
Canada,MB,Rm Of East St. Paul,
